Parcel,label,exo,est,se,z,pvalue,ci.lower,ci.upper,cfi,rmsea,label_Yeo_7,label_Yeo7_short
2,mean_FCG12,0,-0.01,0.061,-0.164,0.87,-0.13,0.11,1,0,7Networks_LH_Vis_2,Vis
2,mean_T1w/T2wmi,0,0.012,0.062,0.199,0.842,-0.109,0.134,1,0,7Networks_LH_Vis_2,Vis
2,GD,0,-0.006,0.059,-0.101,0.92,-0.122,0.11,1,0,7Networks_LH_Vis_2,Vis
2,λ,0,0.78,0.044,17.904,0,0.695,0.866,1,0,7Networks_LH_Vis_2,Vis
2,σ1intra^2,0,0.37,0.044,8.413,0,0.284,0.456,1,0,7Networks_LH_Vis_2,Vis
2,σ2intra^2,0,0.408,0.046,8.898,0,0.319,0.498,1,0,7Networks_LH_Vis_2,Vis
2,σAinter^2,0,0.694,0.094,7.411,0,0.511,0.878,1,0,7Networks_LH_Vis_2,Vis
2,σAmi^2,0,0.524,0.093,5.646,0,0.342,0.706,1,0,7Networks_LH_Vis_2,Vis
2,σAGD^2,0,0.325,0.091,3.575,0,0.147,0.504,1,0,7Networks_LH_Vis_2,Vis
2,σEinter^2,0,0.306,0.094,3.26,0.001,0.122,0.489,1,0,7Networks_LH_Vis_2,Vis
2,σEmi^2,0,0.466,0.065,7.2,0,0.339,0.593,1,0,7Networks_LH_Vis_2,Vis
2,σEGD^2,0,0.661,0.086,7.707,0,0.493,0.829,1,0,7Networks_LH_Vis_2,Vis
2,σA_mig1,0,-0.119,0.078,-1.523,0.128,-0.271,0.034,1,0,7Networks_LH_Vis_2,Vis
2,σA_gdg1,0,0.273,0.08,3.398,0.001,0.116,0.431,1,0,7Networks_LH_Vis_2,Vis
2,σA_migd,0,-0.054,0.065,-0.831,0.406,-0.181,0.073,1,0,7Networks_LH_Vis_2,Vis
2,σE_mig1,0,0.029,0.054,0.527,0.598,-0.078,0.135,1,0,7Networks_LH_Vis_2,Vis
2,σE_gdg1,0,0.287,0.069,4.181,0,0.152,0.422,1,0,7Networks_LH_Vis_2,Vis
2,σE_migd,0,0.022,0.053,0.413,0.68,-0.082,0.126,1,0,7Networks_LH_Vis_2,Vis
3,mean_FCG11,0,0.003,0.059,0.054,0.957,-0.113,0.119,1,0,7Networks_LH_Vis_3,Vis
3,mean_FCG12,0,0.003,0.059,0.054,0.957,-0.111,0.118,1,0,7Networks_LH_Vis_3,Vis
3,mean_T1w/T2wmi,0,0.012,0.063,0.193,0.847,-0.112,0.136,1,0,7Networks_LH_Vis_3,Vis
3,GD,0,-0,0.059,-0.006,0.995,-0.117,0.116,1,0,7Networks_LH_Vis_3,Vis
3,λ,0,0.701,0.044,15.874,0,0.615,0.788,1,0,7Networks_LH_Vis_3,Vis
3,σ1intra^2,0,0.508,0.058,8.786,0,0.395,0.621,1,0,7Networks_LH_Vis_3,Vis
3,σ2intra^2,0,0.482,0.057,8.531,0,0.371,0.593,1,0,7Networks_LH_Vis_3,Vis
3,σAinter^2,0,0.643,0.113,5.674,0,0.421,0.865,1,0,7Networks_LH_Vis_3,Vis
3,σAmi^2,0,0.592,0.096,6.196,0,0.405,0.78,1,0,7Networks_LH_Vis_3,Vis
3,σAGD^2,0,0.339,0.096,3.542,0,0.151,0.526,1,0,7Networks_LH_Vis_3,Vis
3,σEinter^2,0,0.357,0.113,3.15,0.002,0.135,0.579,1,0,7Networks_LH_Vis_3,Vis
3,σEmi^2,0,0.407,0.059,6.895,0,0.291,0.523,1,0,7Networks_LH_Vis_3,Vis
3,σEGD^2,0,0.648,0.088,7.387,0,0.476,0.82,1,0,7Networks_LH_Vis_3,Vis
3,σA_mig1,0,-0.019,0.082,-0.235,0.814,-0.18,0.142,1,0,7Networks_LH_Vis_3,Vis
3,σA_gdg1,0,-0.001,0.082,-0.009,0.993,-0.161,0.16,1,0,7Networks_LH_Vis_3,Vis
3,σA_migd,0,-0.024,0.069,-0.346,0.73,-0.158,0.111,1,0,7Networks_LH_Vis_3,Vis
3,σE_mig1,0,-0.145,0.059,-2.447,0.014,-0.261,-0.029,1,0,7Networks_LH_Vis_3,Vis
3,σE_gdg1,0,0.043,0.072,0.596,0.551,-0.098,0.184,1,0,7Networks_LH_Vis_3,Vis
3,σE_migd,0,-0.1,0.052,-1.919,0.055,-0.203,0.002,1,0,7Networks_LH_Vis_3,Vis
4,mean_FCG11,0,0.006,0.062,0.102,0.919,-0.116,0.129,1,0,7Networks_LH_Vis_4,Vis
4,mean_FCG12,0,0.006,0.06,0.106,0.916,-0.112,0.124,1,0,7Networks_LH_Vis_4,Vis
4,mean_T1w/T2wmi,0,0.015,0.064,0.236,0.814,-0.11,0.14,1,0,7Networks_LH_Vis_4,Vis
4,GD,0,0.012,0.062,0.195,0.845,-0.109,0.134,1,0,7Networks_LH_Vis_4,Vis
4,λ,0,0.75,0.046,16.385,0,0.66,0.839,1,0,7Networks_LH_Vis_4,Vis
4,σ1intra^2,0,0.497,0.054,9.244,0,0.392,0.603,1,0,7Networks_LH_Vis_4,Vis
4,σ2intra^2,0,0.401,0.049,8.192,0,0.305,0.496,1,0,7Networks_LH_Vis_4,Vis
4,σAinter^2,0,0.796,0.097,8.172,0,0.605,0.987,1,0,7Networks_LH_Vis_4,Vis
4,σAmi^2,0,0.606,0.098,6.193,0,0.414,0.798,1,0,7Networks_LH_Vis_4,Vis
4,σAGD^2,0,0.487,0.106,4.595,0,0.279,0.695,1,0,7Networks_LH_Vis_4,Vis
4,σEinter^2,0,0.204,0.097,2.098,0.036,0.013,0.395,1,0,7Networks_LH_Vis_4,Vis
4,σEmi^2,0,0.399,0.059,6.743,0,0.283,0.515,1,0,7Networks_LH_Vis_4,Vis
